City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6366,128.8685,-24.95,96,100,4.59,RU,"Dec 05, 2022, Mon, 17:00"
1,souillac,44.898,1.4694,2.29,82,67,1.63,FR,"Dec 05, 2022, Mon, 17:00"
2,paso de carrasco,-34.864,-56.0538,27.06,61,0,5.66,UY,"Dec 05, 2022, Mon, 17:00"
3,lompoc,34.6392,-120.4579,17.74,64,0,5.66,US,"Dec 05, 2022, Mon, 17:00"
4,mahebourg,-20.4111,57.7061,24.21,88,75,4.63,MU,"Dec 05, 2022, Mon, 17:00"
5,tumannyy,26.2324,127.7631,18.76,97,100,7.72,JP,"Dec 05, 2022, Mon, 17:00"
6,nishihara,52.9244,-82.427,-21.0,71,20,6.69,CA,"Dec 05, 2022, Mon, 17:00"
7,attawapiskat,-54.8076,-68.3179,7.04,57,40,9.77,AR,"Dec 05, 2022, Mon, 17:00"
8,ushuaia,63.0156,112.4642,-19.46,86,100,4.5,RU,"Dec 05, 2022, Mon, 17:00"
9,chernyshevskiy,-23.123,-134.968,24.22,81,95,6.23,PF,"Dec 05, 2022, Mon, 17:00"
10,rikitea,-34.5331,20.0428,14.75,68,100,0.91,ZA,"Dec 05, 2022, Mon, 17:00"
11,bredasdorp,22.0747,-159.3192,24.15,89,49,0.89,US,"Dec 05, 2022, Mon, 17:00"
12,kapaa,-33.5982,26.8915,14.47,94,0,0.89,ZA,"Dec 05, 2022, Mon, 17:00"
13,port alfred,55.5204,38.7063,-11.03,82,100,2.82,RU,"Dec 05, 2022, Mon, 17:00"
14,sobolevo,8.3632,-4.4285,28.41,51,99,0.81,CI,"Dec 05, 2022, Mon, 17:00"
15,dabakala,-20.737,116.8479,26.84,43,3,5.58,AU,"Dec 05, 2022, Mon, 17:00"
16,karratha,-23.8166,-45.3687,22.88,94,100,4.64,BR,"Dec 05, 2022, Mon, 17:00"
17,ilhabela,-3.6642,152.4407,27.49,77,99,1.35,PG,"Dec 05, 2022, Mon, 17:00"
18,namatanai,-0.7472,-90.3134,25.34,89,49,2.68,EC,"Dec 05, 2022, Mon, 17:00"
19,puerto ayora,52.3472,-114.1766,-14.29,86,100,4.5,CA,"Dec 05, 2022, Mon, 17:00"
20,half moon bay,37.0634,115.0255,-1.49,44,0,1.17,CN,"Dec 05, 2022, Mon, 17:00"
21,pingxiang,5.452,7.0567,27.73,86,39,1.99,NG,"Dec 05, 2022, Mon, 17:00"
22,naze,-33.0192,27.8999,15.8,85,4,4.9,ZA,"Dec 05, 2022, Mon, 17:00"
23,east london,22.8939,-109.9201,29.12,59,0,2.57,MX,"Dec 05, 2022, Mon, 17:00"
